,Year,Country,log_GDP,Misallignment,Residual
239,1983,6,6.112,0.02679,-0.173798
240,1984,6,6.12814,0.003846,-0.1549495
241,1985,6,6.16843,0.03057,-0.1178143
242,1986,6,6.18951,0.005559,-0.0937819
243,1987,6,6.22005,-0.023897,-0.0597649
244,1988,6,6.2623,-0.04217,-0.0153576
245,1989,6,6.2805,0.012229,-0.0035792
246,1990,6,6.29511,-0.021332,0.0149928
247,1991,6,6.31675,-0.008827,0.0351564
248,1992,6,6.36439,-0.037157,0.0861406
249,1993,6,6.35606,-0.076562,0.0824622
250,1994,6,6.36747,-0.111858,0.0980384
251,1995,6,6.39084,-0.122574,0.1226737
252,1996,6,6.41321,-0.056999,0.1373028
253,1997,6,6.39857,0.033301,0.1120035
254,1998,6,6.39946,0.043928,0.1116387
255,1999,6,6.41187,0.089561,0.1186622
256,2000,6,6.43097,0.094153,0.1372203
257,2001,6,6.42891,0.154675,0.1280156
258,2002,6,6.4397,0.016554,0.1551104
259,2003,6,6.46658,-0.094487,0.1950981
260,2004,6,6.5174,-0.136069,0.2508265
261,2005,6,6.57093,-0.169606,0.3083156
262,2006,6,6.61043,-0.236894,0.3557584
263,2007,6,6.63712,-0.320365,0.3923018
264,2008,6,6.63337,-0.174676,0.3713539
265,2009,6,6.64051,-0.098987,0.3695595
266,2010,6,6.63552,-0.129749,0.3682006
267,2011,6,6.64153,-0.205177,0.3831146
268,2012,6,6.65479,-0.248986,0.4015459
269,2013,6,6.67634,-0.314765,0.430861
270,2014,6,6.7016,-0.464489,0.4737951
271,1970,7,8.47258,-0.134164,-0.0485657
272,1971,7,8.49142,-0.186413,-0.0235638
273,1972,7,8.48492,-0.135187,-0.0361129
274,1973,7,8.50698,-0.237889,-0.0019271
275,1974,7,8.54397,-0.321219,0.0449064
276,1975,7,8.53878,-0.270783,0.0337608
277,1976,7,8.53943,-0.196901,0.0256832
278,1977,7,8.51744,-0.236925,0.008418
279,1978,7,8.52606,-0.234908,0.0168002
280,1979,7,8.54129,-0.289209,0.0384432
281,1980,7,8.58076,-0.433029,0.0948901
282,1981,7,8.6094,-0.424531,0.1225267
283,1982,7,8.5831,-0.320002,0.0838882
284,1983,7,8.53973,-0.403712,0.0503995
285,1984,7,8.56297,-0.273871,0.0583125
286,1985,7,8.51859,0.038648,-0.022959
287,1986,7,8.49271,0.093904,-0.0553616
288,1987,7,8.4973,-0.04434,-0.0344525
