"","Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
"27",2006,8.36629588,6.939176424,0.053131464522432,8.040011864,6.128592589,0.367447309468223,7.720687933,6.739324793,-0.434534858797902,9.119820301,7.76743333,0.152089095634513,7.559934621,6.613303678,-0.495694390044511,7.878655401,5.936929161,0.357561379217242
"28",2007,8.384217073,6.983029713,0.0139539261360049,8.134320932,6.15632199,0.417400264383212,7.77164895,6.790535834,-0.446487363344899,9.148934007,7.845991439,0.0966770455453903,7.597446495,6.621645303,-0.487216578437937,7.828332809,5.783979017,0.40567270571823
"29",2008,8.39157101,6.978409436,0.0253923174815252,8.203071314,6.198438065,0.453299623731079,7.822981444,6.810803753,-0.410739416783496,9.084552634,7.909614347,-0.0175520796667211,7.636399904,6.624397178,-0.450004885492263,7.848227273,5.817378981,0.399604440729869
"30",2009,8.390223084,7.050694776,-0.0111434936561176,8.174584566,6.244593994,0.410274917634228,7.850013907,6.815080623,-0.365148126312275,9.053212765,7.966794793,-0.0721425207490147,7.687075569,6.581761946,-0.343696021783581,7.887426362,5.91719887,0.381855244866756
"31",2010,8.407539027,7.015909888,0.0168848438998684,8.185316778,6.255673263,0.395473338011834,7.880358289,6.775982339,-0.320682497076905,9.087124731,8.048494311,-0.119575133283238,7.737376394,6.628504232,-0.347113270826445,7.940832995,5.972205272,0.375012719274889
"32",2011,8.417295505,7.039344787,0.00845409529526003,8.183106906,6.257246043,0.392353749501391,7.876710565,6.803127828,-0.345449906158221,9.119070121,7.795325497,0.112781393950596,7.762315278,6.657805633,-0.344997877076057,7.946522017,6.230560185,0.176858544487033
"33",2012,8.431214735,7.114403528,-0.0384098554942873,8.2290977,6.314200008,0.391869465695486,7.876581533,6.808586665,-0.351357704969735,9.132363695,7.636578436,0.250067201846589,7.776933439,6.68289776,-0.351674561917089,7.957908849,6.340994023,0.0995054548390352
"34",2013,8.43880345,7.128888812,-0.0254322184006203,8.241934956,6.2799463,0.448613795952694,7.875522089,6.743623284,-0.284240392288511,9.149426208,7.977233942,0.0147481388919459,7.814746908,6.659473391,-0.278512384566023,7.967086053,6.341874909,0.124823060410516
"35",2014,8.45576237,7.191082884,-0.0858298888048438,8.254060632,6.300069942,0.416630906545082,7.881669428,6.718409107,-0.286371394488672,9.155605372,7.898860305,0.0546605849361021,7.849284816,6.638083379,-0.255275033928728,8.008279073,6.318625713,0.156184825741065
"36",2015,8.471641278,7.145348594,-0.0395817499458646,8.229063019,6.298170758,0.387359885856817,7.902391279,6.757598834,-0.302395287209908,9.16031049,7.847854981,0.0939006024176748,7.84899225,6.660319035,-0.278914636377364,8.009562459,6.333889271,0.139631185258639
"37",2016,8.482626591,7.160826928,-0.0127072423589009,8.169140965,6.292770064,0.359827605231518,7.923489455,6.740008328,-0.239273797743509,9.150575505,7.909404615,0.0636449218745302,7.806415503,6.652678066,-0.287331133228378,7.955768769,6.331509758,0.115839646224742
"38",2017,8.475093297,7.165933587,-0.00697930518540203,8.134447042,6.297008367,0.33908117028411,7.943541357,6.738800433,-0.200970307941032,9.127392365,7.885732413,0.0764667855719128,7.788364946,6.650402657,-0.286286452095818,7.898570753,6.328030695,0.0786881093662312
