Country,Year,lnrgdp,lnec2,residual
Rep. of Congo,2007,7.828332809,-0.062215039,-0.701377406
Rep. of Congo,2008,7.848227273,0.004479871,-0.699090244
Rep. of Congo,2009,7.887426362,0.10594018,-0.636598894
Rep. of Congo,2010,7.940832995,0.304882786,-0.564709723
Rep. of Congo,2011,7.946522017,0.332373853,-0.567185458
Rep. of Congo,2012,7.957908849,0.369776777,-0.581643483
Rep. of Congo,2013,7.967086053,0.477947993,-0.559870917
Rep. of Congo,2014,8.008279073,0.397174531,-0.552317148
Rep. of Congo,2015,8.009562459,0.41710631,-0.552831746
Rep. of Congo,2016,7.955768769,0.431866741,-0.580083278
Rep. of Congo,2017,7.898570753,0.415584239,-0.620323862
