id,Year,lnec,lnperinc,es,open
5,2017,6.650402657,7.788364946,22.32,27.97
6,1980,5.853896447,7.75209878,46.61,120.14
6,1981,5.855071922,7.885178739,50.9,134.11
6,1982,5.884463798,8.06783889,52.56,123.77
6,1983,5.968886572,8.095674918,54.33,109.71
6,1984,5.907348973,8.134382523,56.59,107.25
6,1985,5.919296999,8.094158641,53.91,112.79
6,1986,5.875267753,7.995208874,32.65,93.5
6,1987,5.863915226,7.969572178,35.79,80.36
6,1988,5.809492929,7.959758024,29.92,81.05
6,1989,5.819697099,7.958150239,37.98,83.35
6,1990,5.811320618,7.940754692,40.64,70.82
6,1991,5.827061491,7.936985335,36.03,69.68
6,1992,5.787326737,7.935225961,35.51,57.14
6,1993,5.765817866,7.897686731,35.3,74.18
6,1994,5.589941658,7.813272181,45.48,132.74
6,1995,5.694304366,7.824186001,44.87,128.31
6,1996,5.606426871,7.837696419,51.84,128.41
6,1997,5.533587098,7.802605803,56.86,135.76
6,1998,5.50545348,7.810299965,46.06,148.9
6,1999,5.460776294,7.755158848,61.27,131.39
6,2000,5.424861908,7.799322898,72.15,123.91
6,2001,5.510521298,7.808107668,65.49,130.73
6,2002,5.489474772,7.824581867,63.32,135.46
6,2003,5.626361328,7.803941258,61.17,156.86
6,2004,5.656481202,7.808176758,65.86,131.37
6,2005,5.703749141,7.851380983,71.88,138.66
6,2006,5.936929161,7.878655401,75.5,149.78
6,2007,5.783979017,7.828332809,73.24,132.05
6,2008,5.817378981,7.848227273,77.41,122.15
6,2009,5.91719887,7.887426362,71.12,120.62
6,2010,5.972205272,7.940832995,75.38,139.82
6,2011,6.230560185,7.946522017,76.63,145.12
6,2012,6.340994023,7.957908849,74.77,144.1
6,2013,6.341874909,7.967086053,72.02,142.6
6,2014,6.318625713,8.008279073,69.42,143.24
6,2015,6.333889271,8.009562459,54.67,165.65
6,2016,6.331509758,7.955768769,53.88,136.52
6,2017,6.328030695,7.898570753,53.52,138.58
