"Years","LnRgdp_Algeria","LnEnergy_Algeria","res_Algeria","LnRgdp_Angola","LnEnergy_Angola","res_Angola","LnRgdp_Egypt","LnEnergy_Egypt","res_Egypt","LnRgdp_Gabon","LnEnergy_Gabon","res_Gabon","LnRgdp_Nigeria","LnEnergy_Nigeria","res_Nigeria","LnRgdp_Rcongo","LnEnery_RCongo","res_Congo"
2008,8.39157101,3.737979094,0.48888237437542,8.203071314,1.713437502,-0.0495961920477738,7.822981444,4.38241406,0.0316951240171971,9.084552634,0.233489843,0.576049233037071,7.636399904,3.2656449,-0.34794029577697,7.848227273,0.008959741,-0.699090243604947
2009,8.390223084,3.796881478,0.485930535616201,8.174584566,1.872878521,-0.0623069194678971,7.850013907,4.400271677,0.050028339072864,9.053212765,0.27307592,0.539766275964624,7.687075569,2.873621135,-0.376819337382514,7.887426362,0.211880359,-0.636598893803282
2010,8.407539027,3.807617589,0.45480324586168,8.185316778,1.947480344,-0.0889775892447661,7.880358289,4.424103841,0.0341933794895855,9.087124731,0.233489843,0.516535902912136,7.737376394,3.018080677,-0.351845215688875,7.940832995,0.609765572,-0.564709723329757
2011,8.417295505,3.921280027,0.466538926031744,8.183106906,1.979344925,-0.103348507765575,7.876710565,4.451774221,0.0176595649716023,9.119070121,0.213497174,0.527355776681261,7.762315278,3.038648075,-0.341020301953472,7.946522017,0.664747706,-0.567185457965558
2012,8.431214735,3.977286264,0.4513634438453,8.2290977,2.006870849,-0.0913757665306596,7.876581533,4.528137942,-0.00804501750281078,9.132363695,0.432431556,0.539719734421998,7.776933439,3.35773301,-0.310018910912269,7.957908849,0.739553553,-0.581643483321557
2013,8.43880345,3.93558327,0.426939671254163,8.241934956,2.097527009,-0.0876703087893902,7.875522089,4.508604218,-0.0372845871887318,9.149426208,0.489806257,0.541897143094929,7.814746908,3.432922121,-0.284011001164198,7.967086053,0.955895986,-0.559870917206769
2014,8.45576237,3.944993457,0.43981238985144,8.254060632,2.029200325,-0.0930690675237078,7.881669428,4.49669371,-0.0389091198598373,9.155605372,0.385262401,0.524291074856343,7.849284816,3.29048926,-0.279808129676383,8.008279073,0.794349061,-0.55231714764785
2015,8.471641278,3.952780998,0.448348389856429,8.229063019,2.04523822,-0.123983364634299,7.902391279,4.511233063,-0.0243630032356908,9.16031049,0.436963775,0.529244590335137,7.84899225,3.36207533,-0.276414866498341,8.009562459,0.834212621,-0.552831745823241
2016,8.482626591,3.944470834,0.479336079778191,8.169140965,2.05770705,-0.160311014323529,7.923489455,4.505526631,0.0171876521625255,9.150575505,0.438254931,0.541171745208398,7.806415503,3.363530128,-0.297301185126321,7.955768769,0.863733481,-0.580083277699261
2017,8.475093297,3.947,0.494899889956057,8.134447042,2.044,-0.174767414839576,7.943541357,4.505,0.0596493732537054,9.127392365,0.42,0.537499863245652,7.788364946,3.339,-0.296957849710998,7.898570753,0.831168478,-0.620323861904837
